lr,epoch,step,val_loss,val_dice,loss_union,loss_ground_truth
0.000491940532810986,0,49,,,,
0.0004676466342061758,0,99,,,,
0.000428748840931803,0,149,,,,
0.0003778630925808102,0,199,,,,
0.0003184117085766047,0,249,,,,
0.0002543930313549936,0,299,,,,
,0,301,0.5065843462944031,0.5174983739852905,,
,0,301,,,0.564323902130127,0.5794842839241028
0.0001901125069707632,1,349,,,,
0.00012989327660761774,1,399,,,,
7.778530562063679e-05,1,449,,,,
3.72930480807554e-05,1,499,,,,
1.1139767593704164e-05,1,549,,,,
1.0843688187378575e-06,1,599,,,,
,1,603,0.44783490896224976,0.5722384452819824,,
,1,603,,,0.44867679476737976,0.3868190050125122
7.803115295246243e-06,2,649,,,,
3.08441485685762e-05,2,699,,,,
6.865786417620257e-05,2,749,,,,
0.00011870115849887952,2,799,,,,
0.0001776084245648235,2,849,,,,
0.00024141791800502688,2,899,,,,
,2,905,0.4630089998245239,0.5511258244514465,,
,2,905,,,0.44523563981056213,0.37593376636505127
0.0003058382135350257,3,949,,,,
0.00036653681308962405,3,999,,,,
0.00041943148244172335,3,1049,,,,
0.0004609648894984275,3,1099,,,,
0.0004883437068201602,3,1149,,,,
0.000499726680573076,3,1199,,,,
,3,1207,0.4705486595630646,0.5381925702095032,,
,3,1207,,,0.4490589499473572,0.38349366188049316
0.0004943481762893498,4,1249,,,,
0.00047256998368538916,4,1299,,,,
0.0004358567239250988,4,1349,,,,
0.00038667753688059747,4,1399,,,,
0.0003283398982603103,4,1449,,,,
0.00026476720813661814,4,1499,,,,
,4,1509,0.48535338044166565,0.5208980441093445,,
,4,1509,,,0.443848192691803,0.37240999937057495
0.00020023500837851316,5,1549,,,,
0.0001390833203913644,5,1599,,,,
8.542482828488573e-05,5,1649,,,,
4.286826151655987e-05,5,1699,,,,
1.4275716239353642e-05,5,1749,,,,
1.5701480151619762e-06,5,1799,,,,
,5,1811,0.42476609349250793,0.5811119079589844,,
,5,1811,,,0.4328418970108032,0.3404969573020935
5.606054401141591e-06,6,1849,,,,
2.6112005798495375e-05,6,1899,,,,
6.170889537315816e-05,6,1949,,,,
0.00011000270751537755,6,1999,,,,
0.00016774548566900194,6,2049,,,,
0.00023105382570065558,6,2099,,,,
,6,2113,0.4320138692855835,0.5738514065742493,,
,6,2113,,,0.4317390024662018,0.33387303352355957
0.00029567000456154346,7,2149,,,,
