lr,epoch,step,val_loss,val_dice,loss_union,loss_ground_truth
0.0004999999073334038,0,49,,,,
0.0004999996162950993,0,99,,,,
0.000499999150633812,0,149,,,,
0.0004999985103495419,0,199,,,,
0.0004999976954422891,0,249,,,,
0.0004999967059120536,0,299,,,,
,0,301,0.45574647188186646,0.5639609694480896,,
,0,301,,,0.518766462802887,0.5280075073242188
0.0004999954835511744,1,349,,,,
0.0004999940865673125,1,399,,,,
0.0004999925149604678,1,449,,,,
0.0004999907687306404,1,499,,,,
0.0004999888478778303,1,549,,,,
0.0004999866941943765,1,599,,,,
,1,603,0.45174440741539,0.5582153797149658,,
,1,603,,,0.41377246379852295,0.38940829038619995
0.0004999844240956008,2,649,,,,
0.0004999819211661816,2,699,,,,
0.0004999792436137795,2,749,,,,
0.0004999763914383948,2,799,,,,
0.0004999733064323664,2,849,,,,
0.0004999701050110161,2,899,,,,
,2,905,0.48301640152931213,0.5234004259109497,,
,2,905,,,0.4006454050540924,0.36671802401542664
0.0004999666707590222,3,949,,,,
0.0004999630618840456,3,999,,,,
0.0004999592783860862,3,1049,,,,
0.0004999553202651441,3,1099,,,,
0.0004999511293135583,3,1149,,,,
0.0004999468219466507,3,1199,,,,
,3,1207,0.40928179025650024,0.5977115035057068,,
,3,1207,,,0.395109623670578,0.355551153421402
0.0004999422817490995,4,1249,,,,
0.0004999375669285655,4,1299,,,,
0.0004999326774850488,4,1349,,,,
0.0004999275552108884,4,1399,,,,
0.0004999223165214062,4,1449,,,,
0.0004999168450012803,4,1499,,,,
,4,1509,0.47379836440086365,0.5336650609970093,,
,4,1509,,,0.3883235454559326,0.344144344329834
0.0004999111988581717,5,1549,,,,
0.0004999053780920804,5,1599,,,,
0.0004998993827030063,5,1649,,,,
0.0004998932126909494,5,1699,,,,
0.000499886809848249,5,1749,,,,
0.0004998802323825657,5,1799,,,,
,5,1811,0.4745545983314514,0.5314664244651794,,
,5,1811,,,0.3862770199775696,0.3373505771160126
0.0004998734802938998,6,1849,,,,
0.0004998665535822511,6,1899,,,,
0.0004998594522476196,6,1949,,,,
0.0004998521180823445,6,1999,,,,
0.0004998446675017476,6,2049,,,,
0.000499836984090507,6,2099,,,,
,6,2113,0.41916629672050476,0.5858122110366821,,
,6,2113,,,0.3803950548171997,0.3271707594394684
0.0004998291260562837,7,2149,,,,
0.0004998210933990777,7,2199,,,,
0.0004998128279112279,7,2249,,,,
0.0004998044460080564,7,2299,,,,
0.0004997958312742412,7,2349,,,,
0.0004997870419174433,7,2399,,,,
,7,2415,0.4083974361419678,0.5964905619621277,,
,7,2415,,,0.37684550881385803,0.3180961012840271
0.0004997780779376626,8,2449,,,,
0.0004997689393348992,8,2499,,,,
0.000499759626109153,8,2549,,,,
0.0004997500800527632,8,2599,,,,
0.0004997403593733907,8,2649,,,,
0.0004997304640710354,8,2699,,,,
,8,2717,0.4115171432495117,0.5921319723129272,,
,8,2717,,,0.3759111166000366,0.31257960200309753
0.0004997203941456974,9,2749,,,,
0.0004997101495973766,9,2799,,,,
0.0004996997304260731,9,2849,,,,
0.0004996890784241259,9,2899,,,,
0.000499678251799196,9,2949,,,,
0.0004996672505512834,9,2999,,,,
,9,3019,0.4286644458770752,0.5741779804229736,,
,9,3019,,,0.3732251524925232,0.30581071972846985
0.000499656074680388,10,3049,,,,
0.0004996447241865098,10,3099,,,,
0.0004996331408619881,10,3149,,,,
0.0004996213829144835,10,3199,,,,
0.0004996095085516572,10,3249,,,,
0.0004995974013581872,10,3299,,,,
,10,3321,0.4205821454524994,0.5827315449714661,,
,10,3321,,,0.3700067400932312,0.2968975603580475
0.0004995850613340735,11,3349,,,,
0.0004995726048946381,11,3399,,,,
0.0004995599156245589,11,3449,,,,
0.000499547109939158,11,3499,,,,
0.0004995340714231133,11,3549,,,,
0.000499520858284086,11,3599,,,,
,11,3623,0.40231186151504517,0.60077965259552,,
,11,3623,,,0.3692290782928467,0.29272210597991943
0.0004995074705220759,12,3649,,,,
0.0004994938499294221,12,3699,,,,
0.0004994801129214466,12,3749,,,,
0.0004994661430828273,12,3799,,,,
0.0004994519986212254,12,3849,,,,
0.0004994376795366406,12,3899,,,,
,12,3925,0.4135774075984955,0.5899618864059448,,
,12,3925,,,0.368939071893692,0.2876504957675934
0.0004994231276214123,13,3949,,,,
0.0004994084592908621,13,3999,,,,
0.0004993935581296682,13,4049,,,,
0.0004993785405531526,13,4099,,,,
0.0004993632901459932,13,4149,,,,
0.0004993478651158512,13,4199,,,,
,13,4227,0.3972957730293274,0.606846809387207,,
,13,4227,,,0.3659345805644989,0.28270459175109863
0.0004993322072550654,14,4249,,,,
0.0004993164329789579,14,4299,,,,
0.0004993004258722067,14,4349,,,,
0.0004992842441424727,14,4399,,,,
0.0004992678877897561,14,4449,,,,
0.0004992513568140566,14,4499,,,,
,14,4529,0.4067363440990448,0.596528172492981,,
,14,4529,,,0.36555910110473633,0.276059627532959
0.0004992346512153745,15,4549,,,,
0.0004992177127860487,15,4599,,,,
0.000499200657941401,15,4649,,,,
0.0004991833702661097,15,4699,,,,
0.0004991659079678357,15,4749,,,,
0.0004991482710465789,15,4799,,,,
,15,4831,0.4106821119785309,0.5920532941818237,,
,15,4831,,,0.36465904116630554,0.27301302552223206
0.0004991304012946784,16,4849,,,,
0.0004991124151274562,16,4899,,,,
0.0004990941961295903,16,4949,,,,
0.0004990758607164025,16,4999,,,,
0.0004990572924725711,16,5049,,,,
0.0004990384913980961,16,5099,,,,
,16,5133,0.39680662751197815,0.6070359349250793,,
,16,5133,,,0.365590900182724,0.26909372210502625
0.0004990195739082992,17,5149,,,,
0.0004990004817955196,17,5199,,,,
0.0004989811568520963,17,5249,,,,
0.0004989616572856903,17,5299,,,,
0.0004989419830963016,17,5349,,,,
0.0004989221342839301,17,5399,,,,
,17,5435,0.40832754969596863,0.5957192182540894,,
,17,5435,,,0.3639476001262665,0.2667209804058075
0.0004989021108485758,18,5449,,,,
0.0004988818545825779,18,5499,,,,
0.0004988614236935973,18,5549,,,,
0.0004988408763892949,18,5599,,,,
0.0004988200962543488,18,5649,,,,
0.0004987991414964199,18,5699,,,,
,18,5737,0.4166487455368042,0.586786687374115,,
,18,5737,,,0.36579838395118713,0.26363399624824524
0.0004987779539078474,19,5749,,,,
0.0004987566499039531,19,5799,,,,
0.0004987351130694151,19,5849,,,,
0.0004987134016118944,19,5899,,,,
0.0004986915155313909,19,5949,,,,
0.0004986694548279047,19,5999,,,,
,19,6039,0.4007188081741333,0.6031060218811035,,
,19,6039,,,0.3632201552391052,0.25581079721450806
0.0004986472195014358,20,6049,,,,
0.0004986248095519841,20,6099,,,,
0.0004986021667718887,20,6149,,,,
0.0004985793493688107,20,6199,,,,
0.0004985563573427498,20,6249,,,,
0.0004985331906937063,20,6299,,,,
,20,6341,0.40747177600860596,0.5951507091522217,,
,20,6341,,,0.3634754419326782,0.25216928124427795
0.00049850984942168,21,6349,,,,
0.0004984863335266709,21,6399,,,,
0.0004984625848010182,21,6449,,,,
0.0004984386614523828,21,6499,,,,
0.0004984145634807646,21,6549,,,,
0.0004983902908861637,21,6599,,,,
,21,6643,0.393638014793396,0.6093558073043823,,
,21,6643,,,0.36347129940986633,0.2497989684343338
0.0004983658436685801,22,6649,,,,
0.0004983412218280137,22,6699,,,,
0.0004983163671568036,22,6749,,,,
0.0004982913960702717,22,6799,,,,
0.0004982661921530962,22,6849,,,,
0.0004982408136129379,22,6899,,,,
,22,6945,0.3942818343639374,0.6120722889900208,,
,22,6945,,,0.3637595474720001,0.24533674120903015
0.0004982152604497969,23,6949,,,,
0.0004981894744560122,23,6999,,,,
0.0004981635720469058,23,7049,,,,
0.0004981374368071556,23,7099,,,,
