lr,epoch,step,val_loss,val_dice,loss_union,loss_ground_truth
0.0004999999073334038,0,49,,,,
0.0004999996162950993,0,99,,,,
0.000499999150633812,0,149,,,,
0.0004999985103495419,0,199,,,,
0.0004999976954422891,0,249,,,,
0.0004999967059120536,0,299,,,,
,0,301,0.5256971120834351,0.49549371004104614,,
,0,301,,,0.5454970598220825,0.624894380569458
0.0004999954835511744,1,349,,,,
0.0004999940865673125,1,399,,,,
0.0004999925149604678,1,449,,,,
0.0004999907687306404,1,499,,,,
0.0004999888478778303,1,549,,,,
0.0004999866941943765,1,599,,,,
,1,603,0.45356476306915283,0.5624226927757263,,
,1,603,,,0.4772424101829529,0.42507830262184143
0.0004999844240956008,2,649,,,,
0.0004999819211661816,2,699,,,,
0.0004999792436137795,2,749,,,,
0.0004999763914383948,2,799,,,,
0.0004999733064323664,2,849,,,,
